,CompanyName,Location,Job_Title,SalaryEstimate,Job_Desc,NumberOfEmployees,FoundingYear,CompanyType,IndustryType,SectorType,RevenueType,Rating,minSalary,maxSalary,minSalary_new,maxSalary_new,HourlymaxSal,Python,Spark,sql,MachineLearning,Sql,Pandas,Aws,Excel
665,Ryden Global LLC,Remote,Data Scientist,"Ryden Global LLC
Data Scientist
Remote
US$60.00 - US$70.00 Per hour (Employer Est.)
Easy Apply
Data mining using state-of-the-art methods. Experience with data visualization tools, such as D3.js, GGplot, etc. Data science: 7 years (Required).…
6d","We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products
Remote Role.
Duration: 12+ months
Responsibilities
Selecting features, building and optimizing classifiers using machine learning techniques",Unknown,Unknown,Unknown,Unknown,Unknown,-2,-2.0,60.00 , 70.00,126,147,70.00,0,0,,0,0,0,0,0
668,"Buchanan And Edwards Group
4.0","McLean, VA",Data Scientist,"Buchanan And Edwards Group4 ★
Data Scientist
McLean, VA
US$83K - US$114K (Glassdoor Est.)
Easy Apply
The Contractor shall conduct sophisticated analysis using deployed tools and natural language processing. The Contractor shall work closely with the Sponsor’s……
24h","The Sponsor provides data-driven business analysis to support senior organizational leaders. The Sponsor requires support specializing in natural language processing (NLP) and associated data preparation to help identify challenges and opportunities for the Sponsor’s customers. The Sponsor needs experienced SQL and Python skills to transform the Sponsor’s structured and unstructured data into clear and supported analytic insights to help customers with decision making related to production, resources and personnel. The work may be performed independently or within a team environment.
WORK REQUIREMENTS
The Contractor shall work closely with the Sponsor’s data scientists and technical team to implement requirements; however, the Sponsor’s GTM will manage the priorities.",201 to 500 Employees,1998,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD),4.0,83 , 114,83,114,,1,0,,0,0,0,0,0
669,Tech brothers infoservices,Remote,Data Scientist,"Tech brothers infoservices
Data Scientist
Remote
US$60K - US$140K (Employer Est.)
Easy Apply
Working knowledge with other object-oriented programming languages such as Java or C++. Looking for junior, mid and senior-level data scientists.…
14d","We are looking for junior, mid-level or senior-level data scientists with the following:
Demonstrated software development experience with Python in a Unix environment.
Practical knowledge in Python Machine Learning and Data Visualization
Practical knowledge in Data ETL such as working with: Data loading from SQL, CSV, JSON, Excel, etc., Web scraping (Beautiful Soup, Scrapy, etc.) and Data Wrangling/Cleaning
Experience using the Unix command line.
Proficiency in statistical packages using any of the following: Python, R, STATA, SPSS, etc.",Unknown,Unknown,Unknown / Non-Applicable,Unknown,Unknown,-2,-2.0,60 , 140,60,140,,1,0,,0,0,0,1,1
671,MetroStar,"Washington, DC",Data Scientist 4676,"MetroStar3.5 ★
Data Scientist 4676
Washington, DC
US$102K - US$144K (Glassdoor Est.)
Easy Apply
As a Data Scientist, you'll integrate with cross-functional teams specializing in development, solutions, and business process analysis, informing the……
24h","As a Data Scientist, you'll integrate with cross-functional teams specializing in development, solutions, and business process analysis, informing the architecture and implementation of business processes, programs, plans, and guidance for DoD Business Systems, with the goal of making an impact across the federal government.
We know that you can't have great technology services without amazing people. At MetroStar, we are obsessed with our people and have led a two-decade legacy of building the best and brightest teams. Because we know our future relies on our deep understanding and relentless focus on our people, we live by our mission: A passion for our people. Value for our customers.
If you think you can see yourself delivering our mission and pursuing our goals with us, then check out the job description below!",201 to 500 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD),3.5,102 , 144,102,144,,0,0,,0,0,0,0,0
672,Brainwave360,Remote,Data Scientist,"Brainwave360
Data Scientist
Remote
US$112K - US$135K (Employer Est.)
Easy Apply
Bachelor's degree in a quantitative field such as Mathematics, Statistics, or Computer Science. Experience working with big data platforms and tools.…
14d","Responsibilities:
- Utilize advanced analytics techniques to extract insights from large datasets
- Develop and implement data mining algorithms to identify patterns and trends
- Collaborate with cross-functional teams to understand business objectives and provide data-driven solutions
- Design and build predictive models to support decision-making processes
- Conduct statistical analysis and hypothesis testing to validate findings
- Present findings and recommendations to stakeholders in a clear and concise manner
Qualifications:
- Bachelor's degree in a quantitative field such as Mathematics, Statistics, or Computer Science
- Strong knowledge of data mining techniques and algorithms
- Proficiency in programming languages such as Python or R
- Experience working with big data platforms and tools
- Familiarity with VBA (Visual Basic for Applications) for automation tasks
- Quantum engineering knowledge is a plus
- Excellent problem-solving skills and attention to detail
- Strong communication and presentation skills",Unknown,Unknown,Unknown,Unknown,Unknown,-2,-2.0,112 , 135,112,135,,1,0,,0,0,0,1,1
673,Unknown,Remote,Data Scientist,"Intone Networks4.3 ★
PM/Data Scientist Role
Dallas, TX
US$92K - US$143K (Glassdoor Est.)
Their day to day would include: • Pull data from internal systems • Analyze data, come up with business rules and repeatedly test to optimize outcomes.…
24h","Responsibilities:
- Utilize advanced analytics techniques to extract insights from large datasets
- Develop and implement data mining algorithms to identify patterns and trends
- Collaborate with cross-functional teams to understand business objectives and provide data-driven solutions
- Design and build predictive models to support decision-making processes
- Conduct statistical analysis and hypothesis testing to validate findings
- Present findings and recommendations to stakeholders in a clear and concise manner
Qualifications:
- Bachelor's degree in a quantitative field such as Mathematics, Statistics, or Computer Science
- Strong knowledge of data mining techniques and algorithms
- Proficiency in programming languages such as Python or R
- Experience working with big data platforms and tools
- Familiarity with VBA (Visual Basic for Applications) for automation tasks
- Quantum engineering knowledge is a plus
- Excellent problem-solving skills and attention to detail
- Strong communication and presentation skills",Unknown,Unknown,Unknown,Unknown,Unknown,-2,-2.0,92 , 143,92,143,,1,0,,0,0,0,1,1
674,Lendistry,"Tustin, CA",Data Scientist,"Lendistry3.6 ★
Data Scientist
Tustin, CA
US$80K - US$110K (Employer Est.)
Easy Apply
As a member of the credit risk team, you will research and develop new methodologies and techniques to improve the overall effectiveness of risk management.…
1d","ABOUT LENDISTRY
Lendistry is the country’s largest minority-led and technology-enabled small business and commercial real estate lender with Community Development Financial Institution (CDFI) and Community Development Entity (CDE) certification. We are a national employer whose mission is to provide economic opportunities and progressive growth for small business owners and their underserved communities as a source of financing and financial education.

POSITION OVERVIEW
The Data Scientist will help shape business strategy and product development decisions through data-driven insights. This is an exciting role for someone to make a direct impact on risk, product, and revenue strategy of Lendistry. Success in this role hinges on your technical aptitude, quantitative abilities, and business acumen: you know how to plow through data with SQL/Python/R/, surface insights using math/statistics/ML techniques, and measure the business impact using efficiency/conversion/profit metrics.",201 to 500 Employees,2015,Company - Private,Banking & Lending,Finance,Unknown / Non-Applicable,3.6,80 , 110,80,110,,1,0,,0,0,0,0,0
675,Unknown,"Tustin, CA",Data Scientist,"CPChem3.9 ★
Entry Level Data Scientist 2023/2024
The Woodlands, TX
US$48K - US$78K (Glassdoor Est.)
Bachelor’s degree in a quantitative field engineering, computer science, mathematics, statistics, or data science. Knowledge of Python or R and SQL.…
5d","ABOUT LENDISTRY
Lendistry is the country’s largest minority-led and technology-enabled small business and commercial real estate lender with Community Development Financial Institution (CDFI) and Community Development Entity (CDE) certification. We are a national employer whose mission is to provide economic opportunities and progressive growth for small business owners and their underserved communities as a source of financing and financial education.

POSITION OVERVIEW
The Data Scientist will help shape business strategy and product development decisions through data-driven insights. This is an exciting role for someone to make a direct impact on risk, product, and revenue strategy of Lendistry. Success in this role hinges on your technical aptitude, quantitative abilities, and business acumen: you know how to plow through data with SQL/Python/R/, surface insights using math/statistics/ML techniques, and measure the business impact using efficiency/conversion/profit metrics.",201 to 500 Employees,2015,Company - Private,Banking & Lending,Finance,Unknown / Non-Applicable,3.6,48 , 78,48,78,,1,1,,0,1,0,0,0
676,Unknown,"Tustin, CA",Data Scientist,"Federal Reserve Bank of Dallas4.1 ★
Data Scientist
Dallas, TX
US$93K - US$132K (Glassdoor Est.)
Master’s degree in a quantitative field such as economics, finance, mathematics, data science, or computer science. 401K match, and a fully funded pension plan.…
24h","ABOUT LENDISTRY
Lendistry is the country’s largest minority-led and technology-enabled small business and commercial real estate lender with Community Development Financial Institution (CDFI) and Community Development Entity (CDE) certification. We are a national employer whose mission is to provide economic opportunities and progressive growth for small business owners and their underserved communities as a source of financing and financial education.

POSITION OVERVIEW
The Data Scientist will help shape business strategy and product development decisions through data-driven insights. This is an exciting role for someone to make a direct impact on risk, product, and revenue strategy of Lendistry. Success in this role hinges on your technical aptitude, quantitative abilities, and business acumen: you know how to plow through data with SQL/Python/R/, surface insights using math/statistics/ML techniques, and measure the business impact using efficiency/conversion/profit metrics.",201 to 500 Employees,2015,Company - Private,Banking & Lending,Finance,Unknown / Non-Applicable,3.6,93 , 132,93,132,,1,0,,0,0,0,0,0
677,Unknown,"Tustin, CA",Data Scientist,"Coalition4.5 ★
Senior Data Scientist, Operations
Remote
US$132K (Employer Est.)
A Bachelor's degree in Statistics, Economics, Mathematics or related technical field. Experience using data science tools like scikit-learn, pandas, numpy,……
2d","ABOUT LENDISTRY
Lendistry is the country’s largest minority-led and technology-enabled small business and commercial real estate lender with Community Development Financial Institution (CDFI) and Community Development Entity (CDE) certification. We are a national employer whose mission is to provide economic opportunities and progressive growth for small business owners and their underserved communities as a source of financing and financial education.

POSITION OVERVIEW
The Data Scientist will help shape business strategy and product development decisions through data-driven insights. This is an exciting role for someone to make a direct impact on risk, product, and revenue strategy of Lendistry. Success in this role hinges on your technical aptitude, quantitative abilities, and business acumen: you know how to plow through data with SQL/Python/R/, surface insights using math/statistics/ML techniques, and measure the business impact using efficiency/conversion/profit metrics.",201 to 500 Employees,2015,Company - Private,Banking & Lending,Finance,Unknown / Non-Applicable,3.6,132,0,132,0,,1,0,,1,0,1,0,0
678,Sunixa Solutions,Remote,Sr. Data Analyst,"Sunixa Solutions4.9 ★
Sr. Data Analyst
Remote
US$50.00 - US$55.00 Per hour (Employer Est.)
Easy Apply
Hi Job title: Senior Data Analyst Location: Remote Duration: Long term Exp: 9+ Job Type: Contract Pay: $50.00 - $55.00 per hour Experience level: * 9……
19d","Hi
Job title: Senior Data Analyst
Location: Remote
Duration: Long term
Exp: 9+
Job Type: Contract
Pay: $50.00 - $55.00 per hour
Experience level:",51 to 200 Employees,2015,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.9,50.00 , 55.00,105,116,55.00,0,0,,0,0,0,0,0
679,Unknown,Remote,Sr. Data Analyst,"IBM3.9 ★
Data Scientist – Entry Level 2024
Atlanta, GA
US$71K - US$133K (Employer Est.)
Demonstrate a growth mindset; current on technical growth in the data science space. Applying data engineering techniques to gather, prepare, cleanse, and……
2d","Hi
Job title: Senior Data Analyst
Location: Remote
Duration: Long term
Exp: 9+
Job Type: Contract
Pay: $50.00 - $55.00 per hour
Experience level:",51 to 200 Employees,2015,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.9,71 , 133,71,133,,0,0,,0,0,0,0,0
681,plaxonic,"Tampa, FL",Data Scientist,"plaxonic4.4 ★
Data Scientist
Tampa, FL
US$100K - US$120K (Employer Est.)
Easy Apply
Data mining using state-of-the-art methods. Processing, cleansing, and verifying the integrity of data used for analysis. Data science: 6 years (Preferred).…
30d+","Onsite - Tampa FL
Full time Permanent
Good communication and written skills
Understanding of database systems, SQL, data preparation and cleaning.
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Building and calibrating data prediction models basis business requirement to provide deep insight for decision making
Build trend models that assist in identifying anomalies as well as provide strong base for growth direction",51 to 200 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.4,100 , 120,100,120,,0,0,,0,0,0,0,0
683,Publicis Media,"New York, NY",Junior Data Scientist,"Publicis Media3.9 ★
Junior Data Scientist
New York, NY
US$70K - US$105K (Employer Est.)
Easy Apply
Bachelor's or Master's degree in a relevant field (e.g., Data Science, Statistics, Computer Science, Mathematics, or a related discipline).…
8d","Company Description

Read this first: If you have what it takes for this job, but don't meet all the criteria within the job description, we encourage you to apply. We'd like to connect with you to see what skills and experience you could bring to our team.
Publicis Media is one of Publicis Groupe’s four solution hubs, aligning all of Publicis Groupe’s media agencies and operations. Publicis Groupe (Euronext Paris Exchange: FR0000130577; CAC 40 index), is the world’s third largest communications group. The Data, Technology and Innovation Global Practice was created to deliver best-in-class programmatic solutions as well as to consolidate Publicis Media’s data and technology to transform our business from a service business to a platform business.",10000+ Employees,1926,Company - Public,Advertising & Public Relations,Media & Communication,$5 to $10 billion (USD),3.9,70 , 105,70,105,,0,0,,0,0,0,0,0
684,Tidepool,"Palo Alto, CA",Data Scientist (Remote - US based),"Tidepool
Data Scientist (Remote - US based)
Palo Alto, CA
US$112K - US$225K (Employer Est.)
Easy Apply
Utilize data visualization tools to communicate findings and insights effectively to both technical and non-technical stakeholders.…
15d","Company Description

Due to the nature of this role, candidates must be geographically located, and authorized to work, in the United States.

Tidepool is a leading healthcare technology nonprofit company that is revolutionizing the way people with diabetes manage their condition. Our mission is to make diabetes data more accessible, actionable, and meaningful, empowering individuals and healthcare providers to make informed decisions and improve health outcomes. By leveraging cutting-edge technology and data-driven solutions, Tidepool is dedicated to making a positive impact on the lives of millions affected by diabetes.",1 to 50 Employees,2013,Non-profit Organisation,Healthcare Services & Hospitals,Healthcare,$5 to $25 million (USD),4.4,112 , 225,112,225,,0,0,,0,0,0,0,0
685,FAST GROWING TREES LLC,Remote,Data Scientist,"FAST GROWING TREES LLC4.2 ★
Data Scientist
Remote
US$80K - US$120K (Employer Est.)
Easy Apply
Bachelor's degree in Industrial Engineering, Analytics, Supply Chain Management, or related field. Bachelor's degree in Industrial Engineering, Analytics,……
30d+","Description:

About the Company
Fast Growing Trees is one of the fastest-growing eCommerce companies in America. We enable people to live better, greener lives…one tree at a time. Founded in 2005, we have served over 1 million customers and continue to expand our market leadership and accelerate our growth within a fast-paced, entrepreneurial environment. We’re looking for leaders who want to make a positive difference every day.
About the Role
As a Data Scientist you will be responsible for building and maintaining demand planning models, setting inventory levels, and optimizing nursery space usage to ensure we are in stock for our customers. You will work with Merchandising and Marketing to understand key demand drivers to create realistic forward demand projections. You will analyze trend data and build automated tools to drive replenishment for our highly seasonal ecommerce business. Finally you will work with transportation, suppliers, and the nursery staff to ensure a steady flow of inventory to meet demand within space constraints. If you are passionate about using data to solve complex problems within Supply Chain, this is the role for you!
Requirements:",51 to 200 Employees,2005,Company - Private,Home Furniture & Housewares Stores,Retail & Wholesale,Unknown / Non-Applicable,4.2,80 , 120,80,120,,0,0,,0,0,0,0,0
686,Unknown,Remote,Data Scientist,"HawkEye3603.4 ★
Junior Data Scientist
Herndon, VA
US$90K - US$140K (Employer Est.)
BS in computer science, engineering, or related quantitative field, or equivalent experience. They will focus on areas of analytics exploration which will……
6d","Description:

About the Company
Fast Growing Trees is one of the fastest-growing eCommerce companies in America. We enable people to live better, greener lives…one tree at a time. Founded in 2005, we have served over 1 million customers and continue to expand our market leadership and accelerate our growth within a fast-paced, entrepreneurial environment. We’re looking for leaders who want to make a positive difference every day.
About the Role
As a Data Scientist you will be responsible for building and maintaining demand planning models, setting inventory levels, and optimizing nursery space usage to ensure we are in stock for our customers. You will work with Merchandising and Marketing to understand key demand drivers to create realistic forward demand projections. You will analyze trend data and build automated tools to drive replenishment for our highly seasonal ecommerce business. Finally you will work with transportation, suppliers, and the nursery staff to ensure a steady flow of inventory to meet demand within space constraints. If you are passionate about using data to solve complex problems within Supply Chain, this is the role for you!
Requirements:",51 to 200 Employees,2005,Company - Private,Home Furniture & Housewares Stores,Retail & Wholesale,Unknown / Non-Applicable,4.2,90 , 140,90,140,,0,0,,0,0,0,0,0
687,Nexlogica,Remote,Data Scientist,"Nexlogica
Data Scientist
Remote
US$53.62 - US$64.58 Per hour (Employer Est.)
Easy Apply
Possess knowledge and technical expertise in standards and technologies to support complex business analysis, solution selection, systems design, and……
22d","Skills :
Possess knowledge and technical expertise in standards and technologies to support complex business analysis, solution selection, systems design, and application integration
- SQL and Relational Databases such as Oracle, SQL Server
- Designing & developing SQL queries, stored procedures, views, debugging & tuning complex queries for optimal performance
- UNIX shell scripts
- Python
- Azure Cloud -
Azure Data Factory
- Databricks
- DataOps",51 to 200 Employees,Unknown,Unknown / Non-Applicable,Unknown,Unknown,-2,-2.0,53.62 , 64.58,113,136,64.58,1,0,,0,0,0,0,0
689,SilverEdge,"Chantilly, VA",Data Scientist,"SilverEdge
Data Scientist
Chantilly, VA
US$90K - US$133K (Glassdoor Est.)
The Data Scientist will create data science and data engineering products that include data models, data ingestion/transform, analytics which may include……
1d","Overview:
The Data Scientist will create data science and data engineering products that include data models, data ingestion/transform, analytics which may include machine learning, and some form of output as either a machine-readable format (e.g. file output, database output, standard/streaming output) or a user interface or dashboard.
Responsibilities:
Demonstrated experience with the following:
Python programming
REST APIs and microservices.
Demonstrated experience performing the extraction, transformation, and loading (ETL) of structured and unstructured data",Unknown,Unknown,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-2,-2.0,90 , 133,90,133,,1,0,,0,0,0,0,0
690,Unknown,"Chantilly, VA",Data Scientist,"NXP Semiconductors4.1 ★
Entry Level Data Science - December 2023 and May 2024 Grads
Austin, TX
US$74K - US$125K (Glassdoor Est.)
Collaborating with stakeholders throughout the organization, you will design and develop predictive data models and algorithms in support of corporate goals.…
1d","Overview:
The Data Scientist will create data science and data engineering products that include data models, data ingestion/transform, analytics which may include machine learning, and some form of output as either a machine-readable format (e.g. file output, database output, standard/streaming output) or a user interface or dashboard.
Responsibilities:
Demonstrated experience with the following:
Python programming
REST APIs and microservices.
Demonstrated experience performing the extraction, transformation, and loading (ETL) of structured and unstructured data",Unknown,Unknown,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-2,-2.0,74 , 125,74,125,,1,0,,0,0,0,0,0
692,Matrix New World Engineering,Remote,Data Scientist,"Matrix New World Engineering4 ★
Data Scientist
Remote
US$90K - US$120K (Employer Est.)
Easy Apply
A Bachelor's or higher in statistics, mathematics, computer science, engineering, or a related field. Strong experience in designing and developing dashboards……
30d+","Are you passionate about finding insights from data and using them to drive client and business decisions? Do you have a strong background in mathematics, statistics, project controls, and programming? If so, Matrix New World is looking for a qualified and experienced Data Scientist and this may be the perfect fit for the next step in your career! We have offices in AZ, LA, NJ, NY and CT so the ideal candidate will determine where the position sits.
As a Data Scientist at Matrix, you will work with various teams across the organization to collect, analyze, and interpret large and complex data sets. You will use your skills in data mining, modeling, and data visualization to provide actionable recommendations and solutions for various business problems utilizing software tools including Power BI, Excel, and the other applications from the Microsoft Office suite. You will also communicate your findings and insights to both technical and non-technical audiences. You will join a growing team focused on exciting projects in the sustainability, engineering, geospatial, industrial, and environmental fields. This role is primarily focused on supporting client projects in both the public and private space.",51 to 200 Employees,1990,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$25 to $50 million (USD),4.0,90 , 120,90,120,,0,0,,0,0,0,1,1
693,Context Labs,"Cambridge, MA",Data Scientist,"Context Labs
Data Scientist
Cambridge, MA
US$105K - US$146K (Glassdoor Est.)
Easy Apply
Master's degree required in computer science, data analytics, applied math, or similar related field. Responsibilities include the design and implementation of……
30d+","Context Labs is seeking a Data Scientist to support the deployment of Context Labs’ Decarbonization as a Service™ platform, built on our Immutably™ Data Fabric technology. The candidate will perform research and analysis required by customer projects to deploy data-driven business products related to greenhouse gas mitigation within the energy industry. Responsibilities include the design and implementation of pipelines for ingestion, provenance, visualization, and analysis of data from a wide variety of data sources, building and testing predictive models using machine learning and advanced statistics, with a strong emphasis on the latter. This is a diverse role requiring skills from software development to applied mathematics and statistics. This role will report to the Chief Data & Analytics Officer.",Unknown,Unknown,Software Development,Information Technology,Unknown / Non-Applicable,-2,-2.0,105 , 146,105,146,,0,0,,0,0,0,0,0
695,Ryden Global LLC,Remote,Data Scientist,"Ryden Global LLC
Data Scientist
Remote
US$60.00 - US$70.00 Per hour (Employer Est.)
Easy Apply
Data mining using state-of-the-art methods. Experience with data visualization tools, such as D3.js, GGplot, etc. Data science: 7 years (Required).…
6d","We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products
Remote Role.
Duration: 12+ months
Responsibilities
Selecting features, building and optimizing classifiers using machine learning techniques",Unknown,Unknown,Unknown,Unknown,Unknown,-2,-2.0,60.00 , 70.00,126,147,70.00,0,0,,0,0,0,0,0
698,"Buchanan And Edwards Group
4.0","McLean, VA",Data Scientist,"Buchanan And Edwards Group4 ★
Data Scientist
McLean, VA
US$83K - US$114K (Glassdoor Est.)
Easy Apply
The Contractor shall conduct sophisticated analysis using deployed tools and natural language processing. The Contractor shall work closely with the Sponsor’s……
24h","The Sponsor provides data-driven business analysis to support senior organizational leaders. The Sponsor requires support specializing in natural language processing (NLP) and associated data preparation to help identify challenges and opportunities for the Sponsor’s customers. The Sponsor needs experienced SQL and Python skills to transform the Sponsor’s structured and unstructured data into clear and supported analytic insights to help customers with decision making related to production, resources and personnel. The work may be performed independently or within a team environment.
WORK REQUIREMENTS
The Contractor shall work closely with the Sponsor’s data scientists and technical team to implement requirements; however, the Sponsor’s GTM will manage the priorities.",201 to 500 Employees,1998,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD),4.0,83 , 114,83,114,,1,0,,0,0,0,0,0
699,Tech brothers infoservices,Remote,Data Scientist,"Tech brothers infoservices
Data Scientist
Remote
US$60K - US$140K (Employer Est.)
Easy Apply
Working knowledge with other object-oriented programming languages such as Java or C++. Looking for junior, mid and senior-level data scientists.…
14d","We are looking for junior, mid-level or senior-level data scientists with the following:
Demonstrated software development experience with Python in a Unix environment.
Practical knowledge in Python Machine Learning and Data Visualization
Practical knowledge in Data ETL such as working with: Data loading from SQL, CSV, JSON, Excel, etc., Web scraping (Beautiful Soup, Scrapy, etc.) and Data Wrangling/Cleaning
Experience using the Unix command line.
Proficiency in statistical packages using any of the following: Python, R, STATA, SPSS, etc.",Unknown,Unknown,Unknown / Non-Applicable,Unknown,Unknown,-2,-2.0,60 , 140,60,140,,1,0,,0,0,0,1,1
701,MetroStar,"Washington, DC",Data Scientist 4676,"MetroStar3.5 ★
Data Scientist 4676
Washington, DC
US$102K - US$144K (Glassdoor Est.)
Easy Apply
As a Data Scientist, you'll integrate with cross-functional teams specializing in development, solutions, and business process analysis, informing the……
24h","As a Data Scientist, you'll integrate with cross-functional teams specializing in development, solutions, and business process analysis, informing the architecture and implementation of business processes, programs, plans, and guidance for DoD Business Systems, with the goal of making an impact across the federal government.
We know that you can't have great technology services without amazing people. At MetroStar, we are obsessed with our people and have led a two-decade legacy of building the best and brightest teams. Because we know our future relies on our deep understanding and relentless focus on our people, we live by our mission: A passion for our people. Value for our customers.
If you think you can see yourself delivering our mission and pursuing our goals with us, then check out the job description below!",201 to 500 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD),3.5,102 , 144,102,144,,0,0,,0,0,0,0,0
702,Brainwave360,Remote,Data Scientist,"Brainwave360
Data Scientist
Remote
US$112K - US$135K (Employer Est.)
Easy Apply
Bachelor's degree in a quantitative field such as Mathematics, Statistics, or Computer Science. Experience working with big data platforms and tools.…
14d","Responsibilities:
- Utilize advanced analytics techniques to extract insights from large datasets
- Develop and implement data mining algorithms to identify patterns and trends
- Collaborate with cross-functional teams to understand business objectives and provide data-driven solutions
- Design and build predictive models to support decision-making processes
- Conduct statistical analysis and hypothesis testing to validate findings
- Present findings and recommendations to stakeholders in a clear and concise manner
Qualifications:
- Bachelor's degree in a quantitative field such as Mathematics, Statistics, or Computer Science
- Strong knowledge of data mining techniques and algorithms
- Proficiency in programming languages such as Python or R
- Experience working with big data platforms and tools
- Familiarity with VBA (Visual Basic for Applications) for automation tasks
- Quantum engineering knowledge is a plus
- Excellent problem-solving skills and attention to detail
- Strong communication and presentation skills",Unknown,Unknown,Unknown,Unknown,Unknown,-2,-2.0,112 , 135,112,135,,1,0,,0,0,0,1,1
703,Unknown,Remote,Data Scientist,"Intone Networks4.3 ★
PM/Data Scientist Role
Dallas, TX
US$92K - US$143K (Glassdoor Est.)
Their day to day would include: • Pull data from internal systems • Analyze data, come up with business rules and repeatedly test to optimize outcomes.…
24h","Responsibilities:
- Utilize advanced analytics techniques to extract insights from large datasets
- Develop and implement data mining algorithms to identify patterns and trends
- Collaborate with cross-functional teams to understand business objectives and provide data-driven solutions
- Design and build predictive models to support decision-making processes
- Conduct statistical analysis and hypothesis testing to validate findings
- Present findings and recommendations to stakeholders in a clear and concise manner
Qualifications:
- Bachelor's degree in a quantitative field such as Mathematics, Statistics, or Computer Science
- Strong knowledge of data mining techniques and algorithms
- Proficiency in programming languages such as Python or R
- Experience working with big data platforms and tools
- Familiarity with VBA (Visual Basic for Applications) for automation tasks
- Quantum engineering knowledge is a plus
- Excellent problem-solving skills and attention to detail
- Strong communication and presentation skills",Unknown,Unknown,Unknown,Unknown,Unknown,-2,-2.0,92 , 143,92,143,,1,0,,0,0,0,1,1
704,Lendistry,"Tustin, CA",Data Scientist,"Lendistry3.6 ★
Data Scientist
Tustin, CA
US$80K - US$110K (Employer Est.)
Easy Apply
As a member of the credit risk team, you will research and develop new methodologies and techniques to improve the overall effectiveness of risk management.…
1d","ABOUT LENDISTRY
Lendistry is the country’s largest minority-led and technology-enabled small business and commercial real estate lender with Community Development Financial Institution (CDFI) and Community Development Entity (CDE) certification. We are a national employer whose mission is to provide economic opportunities and progressive growth for small business owners and their underserved communities as a source of financing and financial education.

POSITION OVERVIEW
The Data Scientist will help shape business strategy and product development decisions through data-driven insights. This is an exciting role for someone to make a direct impact on risk, product, and revenue strategy of Lendistry. Success in this role hinges on your technical aptitude, quantitative abilities, and business acumen: you know how to plow through data with SQL/Python/R/, surface insights using math/statistics/ML techniques, and measure the business impact using efficiency/conversion/profit metrics.",201 to 500 Employees,2015,Company - Private,Banking & Lending,Finance,Unknown / Non-Applicable,3.6,80 , 110,80,110,,1,0,,0,0,0,0,0
705,Unknown,"Tustin, CA",Data Scientist,"CPChem3.9 ★
Entry Level Data Scientist 2023/2024
The Woodlands, TX
US$48K - US$78K (Glassdoor Est.)
Bachelor’s degree in a quantitative field engineering, computer science, mathematics, statistics, or data science. Knowledge of Python or R and SQL.…
5d","ABOUT LENDISTRY
Lendistry is the country’s largest minority-led and technology-enabled small business and commercial real estate lender with Community Development Financial Institution (CDFI) and Community Development Entity (CDE) certification. We are a national employer whose mission is to provide economic opportunities and progressive growth for small business owners and their underserved communities as a source of financing and financial education.

POSITION OVERVIEW
The Data Scientist will help shape business strategy and product development decisions through data-driven insights. This is an exciting role for someone to make a direct impact on risk, product, and revenue strategy of Lendistry. Success in this role hinges on your technical aptitude, quantitative abilities, and business acumen: you know how to plow through data with SQL/Python/R/, surface insights using math/statistics/ML techniques, and measure the business impact using efficiency/conversion/profit metrics.",201 to 500 Employees,2015,Company - Private,Banking & Lending,Finance,Unknown / Non-Applicable,3.6,48 , 78,48,78,,1,1,,0,1,0,0,0
